Model,Accuracy,Precision,Recall,F1-Score,AUC (OvR)
Logistic Regression,0.73,0.7309711391375973,0.7579365079365079,0.7370638720148642,0.890482202982203
Support Vector Machine,0.7133333333333334,0.7143394126906584,0.7323232323232323,0.7209570292016291,0.867280610336166
Random Forest,0.6933333333333334,0.6963935574229692,0.70995670995671,0.7015037810624692,0.8395880097268987
Naive Bayes,0.6866666666666666,0.6872653219445256,0.7063492063492064,0.6940740740740741,0.8538042461653573
K-Nearest Neighbours,0.6066666666666667,0.608028083028083,0.6341991341991342,0.6159459471013471,0.808440723371279
Decision Tree,0.5733333333333334,0.5731563588706446,0.5930735930735932,0.5802059120577638,0.7184460344182567
